unit_number,cycle,operational_setting_1,operational_setting_2,operational_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
215,1,41.9981,0.8413,100.0,445.0,549.43,1348.22,1133.13,3.91,5.71,139.46,2211.78,8318.64,1.02,41.98,130.55,2387.94,8082.45,9.3278,0.02,331,2212,100.0,10.69,6.3649
215,2,42.0011,0.8416,100.0,445.0,550.01,1355.33,1128.82,3.91,5.72,139.19,2211.82,8316.46,1.02,42.05,130.42,2387.84,8084.55,9.3943,0.02,330,2212,100.0,10.46,6.4233
215,3,35.0016,0.8414,100.0,449.44,555.89,1371.82,1127.76,5.48,8.0,194.26,2222.9,8354.3,1.02,41.98,183.25,2387.97,8070.18,9.3244,0.02,334,2223,100.0,14.82,8.8609
215,4,42.0017,0.84,100.0,445.0,549.68,1362.11,1127.68,3.91,5.71,139.36,2211.84,8311.16,1.02,42.05,130.51,2387.88,8075.45,9.407,0.02,329,2212,100.0,10.56,6.4182
215,5,42.0018,0.8413,100.0,445.0,550.09,1359.44,1128.21,3.91,5.72,139.44,2211.82,8317.72,1.02,42.04,130.36,2387.93,8077.87,9.3556,0.02,333,2212,100.0,10.61,6.343
215,6,25.0063,0.62,60.0,462.54,537.0,1263.16,1052.77,7.05,9.03,175.14,1915.29,8011.85,0.94,36.79,164.82,2028.13,7870.16,10.9047,0.02,308,1915,84.93,14.32,8.5349
215,7,0.0002,0.0007,100.0,518.67,642.55,1587.68,1407.63,14.62,21.61,553.66,2388.17,9047.32,1.3,47.39,521.91,2388.11,8132.56,8.4705,0.03,393,2388,100.0,38.82,23.3091
215,8,42.0014,0.84,100.0,445.0,549.62,1354.0,1123.61,3.91,5.71,138.76,2211.85,8318.22,1.02,42.06,130.05,2387.85,8076.92,9.3899,0.02,332,2212,100.0,10.62,6.3956
215,9,20.0006,0.7,100.0,491.19,607.37,1491.86,1251.48,9.35,13.66,334.38,2323.91,8715.22,1.08,44.31,314.71,2388.09,8056.58,9.2271,0.02,366,2324,100.0,24.42,14.6367
215,10,42.0076,0.84,100.0,445.0,549.86,1351.51,1126.17,3.91,5.72,138.97,2211.85,8316.2,1.02,42.01,129.83,2387.9,8076.08,9.3604,0.02,331,2212,100.0,10.59,6.4397
215,11,35.0075,0.84,100.0,449.44,555.68,1362.7,1124.04,5.48,8.0,194.0,2222.89,8343.46,1.02,42.03,183.1,2388.01,8061.44,9.3204,0.02,335,2223,100.0,14.9,8.9236
215,12,19.9989,0.7,100.0,491.19,607.51,1483.41,1249.61,9.35,13.65,334.94,2324.0,8723.86,1.08,44.34,315.51,2388.08,8055.78,9.2068,0.02,363,2324,100.0,24.44,14.6588
215,13,20.0053,0.7,100.0,491.19,607.37,1479.69,1249.07,9.35,13.65,334.62,2323.93,8729.96,1.08,44.4,315.12,2388.08,8056.47,9.2261,0.02,366,2324,100.0,24.54,14.7
215,14,10.0029,0.2509,100.0,489.05,604.84,1496.95,1303.14,10.52,15.49,395.12,2318.91,8771.09,1.26,45.44,371.67,2388.14,8130.05,8.6742,0.03,368,2319,100.0,28.4,17.0531
215,15,35.0033,0.8406,100.0,449.44,555.45,1367.32,1128.0,5.48,8.0,194.37,2222.86,8350.65,1.02,42.19,182.72,2388.0,8063.94,9.3333,0.02,334,2223,100.0,14.84,8.9099
215,16,9.998,0.2518,100.0,489.05,605.4,1505.7,1311.58,10.52,15.49,393.58,2318.96,8780.21,1.26,45.47,371.72,2388.15,8129.2,8.6384,0.03,370,2319,100.0,28.66,17.1059
215,17,20.0045,0.7,100.0,491.19,607.93,1481.33,1245.91,9.35,13.66,334.32,2323.97,8724.28,1.08,44.66,315.0,2388.09,8056.91,9.2197,0.02,365,2324,100.0,24.54,14.7452
215,18,41.9991,0.84,100.0,445.0,550.06,1351.9,1125.01,3.91,5.71,137.57,2211.78,8317.43,1.02,42.12,130.68,2387.91,8077.16,9.3892,0.02,331,2212,100.0,10.72,6.4226
215,19,35.0023,0.8414,100.0,449.44,555.82,1362.55,1129.33,5.48,8.0,194.59,2222.92,8348.8,1.02,41.95,182.34,2387.96,8067.19,9.3304,0.02,335,2223,100.0,14.8,8.8931
215,20,0.0014,0.0003,100.0,518.67,642.72,1591.83,1408.18,14.62,21.61,554.21,2388.11,9055.98,1.3,47.29,521.38,2388.08,8135.61,8.4147,0.03,393,2388,100.0,38.93,23.331
215,21,0.001,0.0006,100.0,518.67,642.32,1588.06,1409.62,14.62,21.61,553.14,2388.09,9051.76,1.3,47.45,521.2,2388.12,8139.19,8.4449,0.03,395,2388,100.0,38.99,23.3311
215,22,41.9992,0.84,100.0,445.0,550.37,1358.01,1127.82,3.91,5.72,138.35,2211.75,8318.26,1.02,42.18,130.51,2387.86,8074.2,9.4088,0.02,332,2212,100.0,10.47,6.2672
215,23,41.9981,0.8409,100.0,445.0,549.48,1346.18,1118.86,3.91,5.72,139.07,2211.83,8320.29,1.02,42.22,130.41,2387.86,8078.15,9.3567,0.02,331,2212,100.0,10.79,6.3239
215,24,35.0025,0.8411,100.0,449.44,555.7,1373.52,1130.61,5.48,8.0,194.08,2222.84,8347.05,1.02,41.93,182.83,2387.93,8060.95,9.3207,0.02,334,2223,100.0,14.71,8.9151
215,25,20.0006,0.7,100.0,491.19,607.64,1484.22,1252.77,9.35,13.66,334.38,2323.92,8716.67,1.07,44.49,315.05,2388.06,8057.41,9.2467,0.02,364,2324,100.0,24.31,14.6631
215,26,35.006,0.84,100.0,449.44,555.74,1364.64,1130.11,5.48,8.0,194.34,2222.84,8350.79,1.02,42.05,182.83,2387.94,8064.37,9.3022,0.02,334,2223,100.0,14.86,8.675
215,27,42.0059,0.84,100.0,445.0,549.37,1344.14,1123.01,3.91,5.71,139.26,2211.78,8323.47,1.02,42.16,130.32,2387.88,8078.42,9.3491,0.02,332,2212,100.0,10.61,6.418
215,28,24.9987,0.62,60.0,462.54,536.98,1254.18,1053.38,7.05,9.03,175.53,1915.25,8006.7,0.94,36.8,164.11,2028.13,7872.57,10.8978,0.02,306,1915,84.93,14.19,8.5646
215,29,0.0004,0.0019,100.0,518.67,642.38,1585.42,1406.59,14.62,21.61,552.8,2388.08,9054.99,1.3,47.51,521.74,2388.12,8129.36,8.4327,0.03,392,2388,100.0,38.93,23.2454
215,30,19.9984,0.7,100.0,491.19,607.54,1488.4,1252.24,9.35,13.66,334.96,2324.01,8723.27,1.08,44.3,314.69,2388.15,8054.52,9.2296,0.02,365,2324,100.0,24.46,14.6043
215,31,42.0057,0.84,100.0,445.0,549.96,1359.01,1126.89,3.91,5.72,138.83,2211.83,8313.67,1.02,42.01,131.08,2387.85,8083.62,9.3514,0.02,330,2212,100.0,10.4,6.4137
215,32,0.0001,0.0,100.0,518.67,642.44,1586.01,1409.46,14.62,21.61,553.88,2388.11,9055.21,1.3,47.61,521.45,2388.08,8129.34,8.4684,0.03,392,2388,100.0,39.0,23.2968
215,33,35.0066,0.84,100.0,449.44,555.29,1364.62,1128.49,5.48,8.0,194.35,2222.89,8349.16,1.02,41.92,182.9,2387.98,8063.95,9.2914,0.02,334,2223,100.0,14.79,8.8578
215,34,25.0049,0.6215,60.0,462.54,536.55,1261.86,1042.28,7.05,9.03,175.09,1915.25,8002.62,0.94,36.85,164.4,2028.2,7871.07,10.918,0.02,305,1915,84.93,14.44,8.4698
215,35,20.0016,0.7,100.0,491.19,607.13,1474.97,1249.75,9.35,13.66,334.5,2323.96,8718.26,1.08,44.3,314.93,2388.09,8050.14,9.24,0.02,365,2324,100.0,24.42,14.6645
215,36,9.999,0.25,100.0,489.05,604.94,1497.23,1307.51,10.52,15.49,393.99,2318.97,8772.73,1.26,45.42,372.06,2388.16,8126.82,8.6536,0.03,369,2319,100.0,28.52,17.1097
215,37,10.0066,0.25,100.0,489.05,605.0,1506.12,1304.35,10.52,15.49,394.52,2318.93,8772.83,1.26,45.41,371.53,2388.14,8125.41,8.6934,0.03,369,2319,100.0,28.26,17.1772
215,38,42.0026,0.84,100.0,445.0,548.98,1352.73,1127.16,3.91,5.71,139.01,2211.85,8315.12,1.02,42.0,130.62,2387.88,8079.78,9.378,0.02,332,2212,100.0,10.57,6.28
215,39,42.0019,0.8403,100.0,445.0,549.91,1356.85,1125.87,3.91,5.72,138.12,2211.76,8326.77,1.02,42.15,130.35,2387.85,8076.65,9.3887,0.02,331,2212,100.0,10.84,6.4124
215,40,0.0006,0.0,100.0,518.67,642.39,1592.27,1400.5,14.62,21.61,553.24,2388.08,9050.95,1.3,47.43,521.4,2388.18,8130.85,8.4383,0.03,392,2388,100.0,38.77,23.3315
215,41,0.0026,0.0002,100.0,518.67,643.04,1587.29,1403.61,14.62,21.61,553.48,2388.1,9047.9,1.3,47.43,521.62,2388.17,8133.21,8.4647,0.03,394,2388,100.0,38.97,23.222
215,42,0.0028,0.0,100.0,518.67,642.62,1598.02,1402.08,14.62,21.61,553.37,2388.08,9044.2,1.3,47.49,521.22,2388.12,8129.11,8.4377,0.03,395,2388,100.0,38.7,23.2698
215,43,0.0016,0.0,100.0,518.67,642.68,1585.77,1406.15,14.62,21.61,553.95,2388.07,9061.02,1.3,47.61,521.6,2388.08,8132.63,8.4524,0.03,393,2388,100.0,38.89,23.2847
215,44,25.0033,0.621,60.0,462.54,537.2,1260.42,1048.27,7.05,9.03,175.12,1915.24,8000.03,0.94,36.79,164.38,2028.13,7861.3,10.8874,0.02,306,1915,84.93,14.3,8.6219
215,45,42.0015,0.8408,100.0,445.0,549.44,1355.94,1133.9,3.91,5.71,138.64,2211.8,8310.7,1.02,42.21,130.56,2387.88,8080.7,9.3363,0.02,331,2212,100.0,10.53,6.3522
215,46,9.9998,0.2504,100.0,489.05,605.03,1504.27,1308.38,10.52,15.49,394.17,2318.95,8767.15,1.26,45.42,371.18,2388.16,8124.33,8.6722,0.03,369,2319,100.0,28.61,17.1578
215,47,0.001,0.0017,100.0,518.67,642.45,1590.98,1408.41,14.62,21.61,553.16,2388.11,9046.13,1.3,47.44,521.65,2388.12,8134.9,8.4563,0.03,393,2388,100.0,38.78,23.2159
215,48,42.0057,0.84,100.0,445.0,549.69,1353.48,1124.4,3.91,5.71,138.02,2211.77,8309.87,1.02,42.23,130.26,2387.85,8083.26,9.3831,0.02,330,2212,100.0,10.61,6.3806
215,49,25.0,0.6208,60.0,462.54,536.65,1260.9,1049.56,7.05,9.02,175.25,1915.26,8018.77,0.94,36.86,164.65,2028.13,7875.88,10.8723,0.02,308,1915,84.93,14.37,8.5436
215,50,35.0051,0.84,100.0,449.44,555.69,1370.84,1135.99,5.48,8.0,194.52,2222.88,8344.05,1.02,42.04,183.1,2387.95,8062.5,9.3288,0.02,335,2223,100.0,15.02,8.8291
215,51,20.0015,0.7015,100.0,491.19,607.9,1477.41,1255.1,9.35,13.66,335.53,2324.02,8721.11,1.08,44.31,315.08,2388.09,8053.35,9.2285,0.03,363,2324,100.0,24.42,14.6507
215,52,42.008,0.84,100.0,445.0,549.98,1350.45,1126.82,3.91,5.72,138.59,2211.82,8310.26,1.02,42.14,130.59,2387.88,8075.48,9.3605,0.02,332,2212,100.0,10.71,6.4653
215,53,25.0018,0.6216,60.0,462.54,536.33,1258.05,1056.22,7.05,9.02,175.68,1915.28,8009.74,0.94,36.92,164.28,2028.19,7871.09,10.8698,0.02,306,1915,84.93,14.16,8.6238
215,54,35.0017,0.84,100.0,449.44,555.95,1371.38,1127.94,5.48,8.0,194.31,2222.86,8350.41,1.02,41.81,182.83,2388.03,8066.92,9.3085,0.02,332,2223,100.0,14.72,8.8896
215,55,9.9999,0.2506,100.0,489.05,604.7,1499.4,1305.7,10.52,15.49,394.11,2318.96,8770.67,1.26,45.51,371.73,2388.12,8118.8,8.6543,0.03,369,2319,100.0,28.55,17.0728
215,56,0.0028,0.0,100.0,518.67,643.09,1588.1,1404.88,14.62,21.61,552.4,2388.1,9049.23,1.3,47.62,521.13,2388.08,8139.71,8.4503,0.03,393,2388,100.0,38.92,23.2438
215,57,25.0059,0.6216,60.0,462.54,536.84,1261.12,1050.72,7.05,9.02,176.01,1915.19,8015.31,0.94,36.53,165.02,2028.15,7871.31,10.8802,0.02,307,1915,84.93,14.28,8.5273
215,58,24.9989,0.6207,60.0,462.54,537.09,1269.72,1049.18,7.05,9.02,176.01,1915.27,8008.5,0.94,36.85,164.55,2028.16,7864.46,10.8932,0.02,307,1915,84.93,14.14,8.5845
215,59,10.0016,0.2508,100.0,489.05,604.9,1493.53,1308.28,10.52,15.49,393.3,2318.93,8772.34,1.26,45.48,371.25,2388.21,8126.47,8.6419,0.03,371,2319,100.0,28.57,17.1299
215,60,24.9988,0.62,60.0,462.54,536.52,1260.18,1046.41,7.05,9.02,175.91,1915.24,8006.19,0.94,36.76,164.89,2028.18,7874.52,10.9084,0.02,309,1915,84.93,14.15,8.5654
215,61,42.0074,0.84,100.0,445.0,550.08,1351.78,1123.29,3.91,5.72,138.22,2211.86,8319.97,1.02,42.15,130.01,2387.81,8079.85,9.3825,0.02,333,2212,100.0,10.45,6.3229
215,62,25.005,0.62,60.0,462.54,537.34,1267.29,1043.33,7.05,9.03,175.82,1915.29,8016.93,0.94,36.78,164.3,2028.12,7868.09,10.9363,0.02,307,1915,84.93,14.36,8.6032
215,63,35.0003,0.84,100.0,449.44,556.02,1367.96,1131.68,5.48,8.0,193.92,2222.81,8350.63,1.02,42.05,183.41,2387.98,8061.94,9.3451,0.02,334,2223,100.0,14.7,8.905
215,64,10.0064,0.25,100.0,489.05,604.38,1502.82,1310.31,10.52,15.49,394.87,2318.98,8776.1,1.26,45.36,371.71,2388.12,8128.23,8.6491,0.03,368,2319,100.0,28.48,17.1484
215,65,35.003,0.84,100.0,449.44,555.93,1368.99,1131.07,5.48,8.0,194.46,2222.86,8349.19,1.02,42.1,182.98,2387.96,8065.26,9.3519,0.02,335,2223,100.0,14.89,8.8269
215,66,41.9981,0.8412,100.0,445.0,549.62,1355.1,1120.99,3.91,5.71,139.27,2211.81,8321.82,1.02,42.06,130.35,2387.89,8077.61,9.3718,0.02,331,2212,100.0,10.46,6.2706
215,67,0.0001,0.0,100.0,518.67,642.51,1592.55,1411.36,14.62,21.61,554.75,2388.13,9054.76,1.3,47.68,520.94,2388.11,8134.56,8.4209,0.03,393,2388,100.0,38.91,23.295
215,68,35.0022,0.8415,100.0,449.44,555.3,1366.86,1133.44,5.48,8.0,194.75,2222.9,8346.36,1.02,42.21,182.36,2387.94,8066.79,9.3288,0.02,335,2223,100.0,14.85,8.9735
